name,code,year,n
USA,USA,1945,2
USA,USA,1946,9
USA,USA,1947,13
USA,USA,1948,50
USA,USA,1949,170
USA,USA,1950,299
USA,USA,1951,438
USA,USA,1952,841
USA,USA,1953,1169
USA,USA,1954,1703
USA,USA,1955,2422
USA,USA,1956,3692
USA,USA,1957,5543
USA,USA,1958,7345
USA,USA,1959,12298
USA,USA,1960,18638
USA,USA,1961,22229
USA,USA,1962,25540
USA,USA,1963,28133
USA,USA,1964,29463
USA,USA,1965,31139
USA,USA,1966,31175
USA,USA,1967,31255
USA,USA,1968,29561
USA,USA,1969,27552
USA,USA,1970,26008
USA,USA,1971,25830
USA,USA,1972,26516
USA,USA,1973,27835
USA,USA,1974,28537
USA,USA,1975,27519
USA,USA,1976,25914
USA,USA,1977,25542
USA,USA,1978,24418
USA,USA,1979,24138
USA,USA,1980,24104
USA,USA,1981,23208
USA,USA,1982,22886
USA,USA,1983,23305
USA,USA,1984,23459
USA,USA,1985,23368
USA,USA,1986,23317
USA,USA,1987,23575
USA,USA,1988,23205
USA,USA,1989,22217
USA,USA,1990,21392
USA,USA,1991,19008
USA,USA,1992,13708
USA,USA,1993,11511
USA,USA,1994,10979
USA,USA,1995,10904
USA,USA,1996,11011
USA,USA,1997,10903
USA,USA,1998,10732
USA,USA,1999,10685
USA,USA,2000,10577
USA,USA,2001,10526
USA,USA,2002,10457
USA,USA,2003,10027
USA,USA,2004,8570
USA,USA,2005,8360
USA,USA,2006,7853
USA,USA,2007,5709
USA,USA,2008,5273
USA,USA,2009,5113
USA,USA,2010,4950
USA,USA,2011,4763
USA,USA,2012,4680
USA,USA,2013,4650
USA,USA,2014,4760
Russland,RUS,1945,0
Russland,RUS,1946,0
Russland,RUS,1947,0
Russland,RUS,1948,0
Russland,RUS,1949,1
Russland,RUS,1950,5
Russland,RUS,1951,25
Russland,RUS,1952,50
Russland,RUS,1953,120
Russland,RUS,1954,150
Russland,RUS,1955,200
Russland,RUS,1956,426
Russland,RUS,1957,660
Russland,RUS,1958,863
Russland,RUS,1959,1048
Russland,RUS,1960,1627
Russland,RUS,1961,2492
Russland,RUS,1962,3346
Russland,RUS,1963,4259
Russland,RUS,1964,5242
Russland,RUS,1965,6144
Russland,RUS,1966,7091
Russland,RUS,1967,8400
Russland,RUS,1968,9490
Russland,RUS,1969,10671
Russland,RUS,1970,11736
Russland,RUS,1971,13279
Russland,RUS,1972,14600
Russland,RUS,1973,15878
Russland,RUS,1974,17286
Russland,RUS,1975,19235
Russland,RUS,1976,22165
Russland,RUS,1977,24281
Russland,RUS,1978,26169
Russland,RUS,1979,28258
Russland,RUS,1980,30665
Russland,RUS,1981,32146
Russland,RUS,1982,33486
Russland,RUS,1983,35130
Russland,RUS,1984,36825
Russland,RUS,1985,38582
Russland,RUS,1986,40159
Russland,RUS,1987,38107
Russland,RUS,1988,36538
Russland,RUS,1989,35078
Russland,RUS,1990,32980
Russland,RUS,1991,29154
Russland,RUS,1992,26734
Russland,RUS,1993,24403
Russland,RUS,1994,21339
Russland,RUS,1995,18179
Russland,RUS,1996,15942
Russland,RUS,1997,15442
Russland,RUS,1998,14368
Russland,RUS,1999,13188
Russland,RUS,2000,12188
Russland,RUS,2001,11152
Russland,RUS,2002,10114
Russland,RUS,2003,9076
Russland,RUS,2004,8038
Russland,RUS,2005,7000
Russland,RUS,2006,6643
Russland,RUS,2007,6286
Russland,RUS,2008,5929
Russland,RUS,2009,5527
Russland,RUS,2010,5215
Russland,RUS,2011,4858
Russland,RUS,2012,4500
Russland,RUS,2013,4480
Russland,RUS,2014,4300
