year,Russland,USA
1945,0,2
1946,0,9
1947,0,13
1948,0,50
1949,1,170
1950,5,299
1951,25,438
1952,50,841
1953,120,1169
1954,150,1703
1955,200,2422
1956,426,3692
1957,660,5543
1958,863,7345
1959,1048,12298
1960,1627,18638
1961,2492,22229
1962,3346,25540
1963,4259,28133
1964,5242,29463
1965,6144,31139
1966,7091,31175
1967,8400,31255
1968,9490,29561
1969,10671,27552
1970,11736,26008
1971,13279,25830
1972,14600,26516
1973,15878,27835
1974,17286,28537
1975,19235,27519
1976,22165,25914
1977,24281,25542
1978,26169,24418
1979,28258,24138
1980,30665,24104
1981,32146,23208
1982,33486,22886
1983,35130,23305
1984,36825,23459
1985,38582,23368
1986,40159,23317
1987,38107,23575
1988,36538,23205
1989,35078,22217
1990,32980,21392
1991,29154,19008
1992,26734,13708
1993,24403,11511
1994,21339,10979
1995,18179,10904
1996,15942,11011
1997,15442,10903
1998,14368,10732
1999,13188,10685
2000,12188,10577
2001,11152,10526
2002,10114,10457
2003,9076,10027
2004,8038,8570
2005,7000,8360
2006,6643,7853
2007,6286,5709
2008,5929,5273
2009,5527,5113
2010,5215,4950
2011,4858,4763
2012,4500,4680
2013,4480,4650
2014,4300,4760
